Date,Prices
1989-12-04,1842229.16
1989-12-05,1812249.26
1989-12-06,1801898.72
1989-12-07,1817140.22
1989-12-08,1826915.21
1989-12-11,1862927.69
1989-12-12,1846662.71
1989-12-13,1845333.68
1989-12-14,1822941.48
1989-12-15,1833295.65
1989-12-18,1832034.43
1989-12-19,1856961.16
1989-12-20,1854063.37
1989-12-21,1845823.83
1989-12-22,1857332.44
1989-12-25,1857332.44
1989-12-26,1857332.44
1989-12-27,1819694.56
1989-12-28,1799813.99
1989-12-29,1800931.67
1990-01-01,1800931.67
1990-01-02,1803297.38
1990-01-03,1787436.72
1990-01-04,1772211.0
1990-01-05,1801360.4
1990-01-08,1811890.83
1990-01-09,1806196.47
1990-01-10,1822126.27
1990-01-11,1841579.45
1990-01-12,1845092.82
1990-01-15,1878073.53
1990-01-16,1873079.45
1990-01-17,1869185.44
1990-01-18,1888572.16
1990-01-19,1864606.55
1990-01-22,1860988.49
1990-01-23,1861086.73
1990-01-24,1909960.2
1990-01-25,1885099.45
1990-01-26,1896329.77
1990-01-29,1885499.6
1990-01-30,1877761.83
1990-01-31,1867170.03
1990-02-01,1867762.96
1990-02-02,1878539.41
1990-02-05,1880149.43
1990-02-06,1883713.63
1990-02-07,1897562.9
1990-02-08,1885683.46
1990-02-09,1881246.55
1990-02-12,1881492.34
1990-02-13,1883449.12
1990-02-14,1861850.46
1990-02-15,1870323.11
1990-02-16,1877104.84
1990-02-19,1876276.5
1990-02-20,1888111.78
1990-02-21,1878906.08
1990-02-22,1867836.26
1990-02-23,1863982.99
1990-02-26,1866701.22
1990-02-27,1850550.2
1990-02-28,1853648.09
1990-03-01,1874226.37
1990-03-02,1884871.17
1990-03-05,1820488.44
1990-03-06,1817994.51
1990-03-07,1808297.89
1990-03-08,1805345.48
1990-03-09,1825714.44
1990-03-12,1803385.45
1990-03-13,1797120.81
1990-03-14,1784820.44
1990-03-15,1787752.23
1990-03-16,1785723.94
1990-03-19,1812817.35
1990-03-20,1802891.99
1990-03-21,1786679.67
1990-03-22,1778870.3
1990-03-23,1782338.16
1990-03-26,1664062.05
1990-03-27,1641743.21
1990-03-28,1644390.15
1990-03-29,1650253.23
1990-03-30,1622520.2
1990-04-02,1653226.06
1990-04-03,1678213.9
1990-04-04,1668229.09
1990-04-05,1687239.9
1990-04-06,1686687.29
1990-04-09,1697929.75
1990-04-10,1695824.66
1990-04-11,1683906.67
1990-04-12,1690780.84
1990-04-13,1690780.84
1990-04-16,1690780.84
1990-04-17,1691752.68
1990-04-18,1692039.36
1990-04-19,1689848.39
1990-04-20,1699759.14
1990-04-23,1687387.84
1990-04-24,1696428.95
1990-04-25,1670627.14
1990-04-26,1673529.38
1990-04-27,1670974.21
1990-04-30,1651644.8
1990-05-01,1658494.37
1990-05-02,1659947.02
1990-05-03,1654400.27
1990-05-04,1658267.58
1990-05-07,1658267.58
1990-05-08,1645946.86
1990-05-09,1632925.73
1990-05-10,1640622.64
1990-05-11,1624941.13
1990-05-14,1658631.39
1990-05-15,1660103.23
1990-05-16,1666963.16
1990-05-17,1653385.04
1990-05-18,1653385.04
1990-05-21,1680438.67
1990-05-22,1688947.53
1990-05-23,1639281.86
1990-05-24,1651690.13
1990-05-25,1649738.35
1990-05-28,1649738.35
1990-05-29,1653174.0
1990-05-30,1647339.34
1990-05-31,1646877.57
1990-06-01,1641350.59
1990-06-04,1621108.48
1990-06-05,1617671.12
1990-06-06,1619667.64
1990-06-07,1589010.74
1990-06-08,1596416.32
1990-06-11,1594256.49
1990-06-12,1583016.1
1990-06-13,1555088.81
1990-06-14,1536705.21
1990-06-15,1540468.98
1990-06-18,1565206.31
1990-06-19,1556157.96
1990-06-20,1545203.66
1990-06-21,1556546.21
1990-06-22,1543825.88
1990-06-25,1580844.21
1990-06-26,1567093.67
1990-06-27,1566606.6
1990-06-28,1576692.68
1990-06-29,1571727.93
1990-07-02,1577749.31
1990-07-03,1583688.12
1990-07-04,1580987.53
1990-07-05,1572741.63
1990-07-06,1573776.67
1990-07-09,1625616.1
1990-07-10,1588614.22
1990-07-11,1603630.5
1990-07-12,1594293.64
1990-07-13,1640732.2
1990-07-16,1631000.64
1990-07-17,1612401.9
1990-07-18,1599089.08
1990-07-19,1616431.33
1990-07-20,1611518.45
1990-07-23,1645640.61
1990-07-24,1653696.96
1990-07-25,1682926.02
1990-07-26,1664866.45
1990-07-27,1636881.94
1990-07-30,1652401.44
1990-07-31,1660937.82
1990-08-01,1658034.31
1990-08-02,1707595.03
1990-08-03,1692649.27
1990-08-06,1723800.87
1990-08-07,1723706.81
1990-08-08,1741119.08
1990-08-09,1730349.1
1990-08-10,1757694.83
1990-08-13,1820797.82
1990-08-14,1843927.93
1990-08-15,1778651.11
1990-08-16,1798821.61
1990-08-17,1814500.22
1990-08-20,1832009.75
1990-08-21,1857255.02
1990-08-22,1828882.02
1990-08-23,1822991.48
1990-08-24,1819303.04
1990-08-27,1819303.04
1990-08-28,1719321.72
1990-08-29,1703140.28
1990-08-30,1748857.72
1990-08-31,1767463.94
1990-09-03,1740841.23
1990-09-04,1713099.35
1990-09-05,1700805.76
1990-09-06,1711771.61
1990-09-07,1711515.22
1990-09-10,1739566.65
1990-09-11,1719363.24
1990-09-12,1715006.74
1990-09-13,1709844.59
1990-09-14,1709972.73
1990-09-17,1756443.31
1990-09-18,1726590.97
1990-09-19,1760011.85
1990-09-20,1777145.14
1990-09-21,1810702.91
1990-09-24,1759689.66
1990-09-25,1817844.95
1990-09-26,1825275.81
1990-09-27,1823115.72
1990-09-28,1841723.47
1990-10-01,2084982.94
1990-10-02,2041608.66
1990-10-03,2037360.07
1990-10-04,2058126.63
1990-10-05,2018796.98
1990-10-08,2267212.55
1990-10-09,2307273.68
1990-10-10,2279945.65
1990-10-11,2261281.35
1990-10-12,2252419.94
1990-10-15,2357922.81
1990-10-16,2255094.04
1990-10-17,2253611.51
1990-10-18,2275584.8
1990-10-19,2296985.0
1990-10-22,2287854.01
1990-10-23,2317256.18
1990-10-24,2299645.73
1990-10-25,2329474.89
1990-10-26,2318125.8
1990-10-29,2354019.1
1990-10-30,2367316.22
1990-10-31,2408684.44
1990-11-01,2405115.13
1990-11-02,2401623.39
1990-11-05,2354948.23
1990-11-06,2366031.92
1990-11-07,2398257.35
1990-11-08,2407663.13
1990-11-09,2408902.16
1990-11-12,2404520.76
1990-11-13,2419741.39
1990-11-14,2425969.66
1990-11-15,2390514.78
1990-11-16,2372498.01
1990-11-19,2385574.26
1990-11-20,2400078.14
1990-11-21,2384839.75
1990-11-22,2401295.24
1990-11-23,2425891.65
1990-11-26,2459312.93
1990-11-27,2427874.2
1990-11-28,2438551.58
1990-11-29,2473779.98
1990-11-30,2478753.19
1990-12-03,2432241.75
1990-12-04,2403361.38
1990-12-05,2396286.5
1990-12-06,2339202.87
1990-12-07,2329844.15
1990-12-10,2422547.96
1990-12-11,2416131.9
1990-12-12,2402767.35
1990-12-13,2409894.01
1990-12-14,2423275.09
1990-12-17,2435321.43
1990-12-18,2432342.56
1990-12-19,2446435.13
1990-12-20,2520039.88
1990-12-21,2511555.06
1990-12-24,2516768.8
1990-12-25,2516768.8
1990-12-26,2516768.8
1990-12-27,2503346.66
1990-12-28,2482218.9
1990-12-31,2543477.37
